3	935603
10	212811
5	314815
3	112455
6	438568
5	218879
4	396612
2	732118
4	598372
10	315987
5	148736
10	49798
7	93740
8	680985
8	5976
6	315061
9	352003
3	50143
5	919055
6	312293
6	461286
7	109089
4	3791
10	333129
10	453923
2	898814
7	667574
10	639802
2	173304
3	647317
4	465560
4	475334
10	875211
2	979751
4	478146
1	123813
8	470844
3	266323
8	349570
1	561710
6	906503
3	564698
4	231318
2	188282
2	456017
5	391237
9	920249
1	865045
8	575601
6	276038
8	351602
4	630535
4	321031
3	599052
1	525840
5	909857
2	319068
1	779857
1	464813
4	301780
6	17006
7	906298
10	32270
10	353600
5	154746
2	705456
9	577366
10	325217
3	763243
3	882827
6	576287
5	221758
1	421088
10	16303
9	176185
7	59114
7	953540
3	318115
9	758908
9	110363
10	295411
4	773160
10	962110
5	186476
8	632685
1	623943
10	342163
10	318616
7	308809
6	844161
9	196927
10	236005
9	932229
1	173337
6	212190
7	892442
2	278050
5	577023
9	780851
8	664918
5	224590
6	241990
8	232800
8	379513
1	266541
2	979496
7	882446
5	676746
3	153586
7	653641
8	117159
1	310237
5	894125
6	804596
2	36139
2	936232
6	478464
3	802487
4	250085
9	759946
9	47293
7	90978
5	14536
10	545726
7	370504
1	608678
1	961224
10	151768
3	84910
9	463688
7	731038
4	416688
10	238118
9	150592
10	433662
8	510581
2	767631
8	558364
1	343541
2	267257
8	407373
3	617974
10	861628
4	107133
4	930877
10	711264
8	624550
1	539487
8	359632
10	37257
9	621433
6	451093
9	421679
10	150991
4	899812
9	556906
2	145367
4	437313
9	318411
1	617625
2	708934
6	187976
5	233974
9	312208
8	188308
4	113850
6	228465
1	629709
1	19227
4	751461
2	88554
10	672671
7	695154
9	589855
8	228943
7	1000089
5	339378
7	994797
9	511746
9	440590
6	722782
6	696245
2	45538
10	983602
10	721370
7	374132
1	744275
1	780717
8	573334
7	817664
8	705798
6	755675
10	213100
9	846406
9	47145
1	150397
6	688039
9	340024
3	615435
7	11615
1	326621
